Category,Yavapai
Total_doses_administered,194439
Total_people_one_dose,111235
Total_people_complete,93313
Total_doses_ordered,172400
total_pouluation,232386
Male-65 years and older,24241
Male-55-64 years,8678
Male-45-54 years,5085
Male-20-44 years,9979
Male-Less than 20 years,2152
Female-65 years and older,30248
Female-55-64 years,11089
Female-45-54 years,5930
Female-20-44 years,10118
Female-Less than 20 years,2402
"Black or African American, non-Hispanic",611
"American Indian or Alaska Native, non-Hispanic",1133
"Asian or Pacific Islander, non-Hispanic",1456
Hispanic or Latino,7102
Other Race,17113
Unknown,27523
"White, non-Hispanic",56297
