Category,Gila
Total_doses_administered,54529
Total_people_one_dose,29822
Total_people_complete,26394
Total_doses_ordered,37560
total_pouluation,55159
Male-65 years and older,5951
Male-55-64 years,2669
Male-45-54 years,1652
Male-20-44 years,3306
Male-Less than 20 years,791
Female-65 years and older,6312
Female-55-64 years,2974
Female-45-54 years,1748
Female-20-44 years,3427
Female-Less than 20 years,930
"Black or African American, non-Hispanic",100
"Asian or Pacific Islander, non-Hispanic",262
Hispanic or Latino,1370
Other Race,4958
Unknown,5476
"American Indian or Alaska Native, non-Hispanic",6071
"White, non-Hispanic",11585
