Category,Mohave
Total_doses_administered,159789
Total_people_one_dose,91599
Total_people_complete,75973
Total_doses_ordered,133190
total_pouluation,216985
Male-65 years and older,21858
Male-55-64 years,8614
Male-45-54 years,4466
Male-20-44 years,7505
Male-Less than 20 years,1377
Female-65 years and older,24374
Female-55-64 years,10013
Female-45-54 years,4748
Female-20-44 years,6998
Female-Less than 20 years,1487
"Black or African American, non-Hispanic",647
"American Indian or Alaska Native, non-Hispanic",956
"Asian or Pacific Islander, non-Hispanic",1325
Hispanic or Latino,6620
Unknown,15319
Other Race,16166
"White, non-Hispanic",50566
