Category,Apache
Total_doses_administered,33890
Total_people_one_dose,18996
Total_people_complete,12605
Total_doses_ordered,16800
total_pouluation,71808
Male-65 years and older,1980
Male-55-64 years,1320
Male-45-54 years,1047
Male-20-44 years,2553
Male-Less than 20 years,2538
Female-65 years and older,2087
Female-55-64 years,1450
Female-45-54 years,1048
Female-20-44 years,2342
Female-Less than 20 years,2621
"Asian or Pacific Islander, non-Hispanic",171
"Black or African American, non-Hispanic",290
Unknown,1023
Other Race,1292
Hispanic or Latino,1893
"White, non-Hispanic",3325
"American Indian or Alaska Native, non-Hispanic",11002
