Category,Arizona
Total_doses_administered,6771703
Total_people_complete,3327133
Total_doses_ordered,5232260
total_pouluation,7189020
Total_people_one_dose,3717090
Male-65 years and older,506067
Male-55-64 years,286626
Male-45-54 years,243398
Male-20-44 years,562434
Male-Less than 20 years,132572
Female-65 years and older,624714
Female-55-64 years,332199
Female-45-54 years,269131
Female-20-44 years,598074
Female-Less than 20 years,142585
"Black or African American, non-Hispanic",98565
"American Indian or Alaska Native, non-Hispanic",100369
"Asian or Pacific Islander, non-Hispanic",143480
Unknown,403400
Hispanic or Latino,591323
Other Race,637406
"White, non-Hispanic",1742547
