Category,Greenlee
Total_doses_administered,8310
Total_people_one_dose,4711
Total_people_complete,4192
Total_doses_ordered,9770
total_pouluation,10375
Male-65 years and older,542
Male-55-64 years,590
Male-45-54 years,484
Male-20-44 years,991
Male-Less than 20 years,46
Female-65 years and older,517
Female-55-64 years,407
Female-45-54 years,364
Female-20-44 years,724
Female-Less than 20 years,44
"Black or African American, non-Hispanic",44
"Asian or Pacific Islander, non-Hispanic",48
"American Indian or Alaska Native, non-Hispanic",83
Other Race,127
Unknown,377
"White, non-Hispanic",1949
Hispanic or Latino,2083
