Category,Apache
Total_doses_administered,23062
Total_people_one_dose,12931
Total_people_complete,11191
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1696
Male-55-64 years,895
Male-45-54 years,587
Male-20-44 years,1083
Male-Less than 20 years,2087
Female-65 years and older,1736
Female-55-64 years,1014
Female-45-54 years,634
Female-20-44 years,1005
Female-Less than 20 years,2185
"Asian or Pacific Islander, non-Hispanic",147
"Black or African American, non-Hispanic",235
Unknown,942
Other Race,950
Hispanic or Latino,1516
"White, non-Hispanic",2951
"American Indian or Alaska Native, non-Hispanic",6190
