Category,Maricopa
Total_doses_administered,2808898
Total_people_one_dose,1593623
Total_people_complete,1404845
Total_doses_ordered,1541187
total_pouluation,4367835
Male-65 years and older,174809
Male-55-64 years,120122
Male-45-54 years,115661
Male-20-44 years,260129
Male-Less than 20 years,62728
Female-65 years and older,227263
Female-55-64 years,139667
Female-45-54 years,129801
Female-20-44 years,285322
Female-Less than 20 years,66388
"American Indian or Alaska Native, non-Hispanic",34273
"Black or African American, non-Hispanic",59806
"Asian or Pacific Islander, non-Hispanic",77050
Unknown,156384
Other Race,247238
Hispanic or Latino,272979
"White, non-Hispanic",745893
