Category,Apache
Total_doses_administered,63904
Total_people_one_dose,30409
Total_people_complete,23078
total_pouluation,30409
Male-65 years and older,2850
Male-55-64 years,2080
Male-45-54 years,1672
Male-20-44 years,4016
Male-Less than 20 years,4246
Female-65 years and older,3416
Female-55-64 years,2229
Female-45-54 years,1646
Female-20-44 years,3903
Female-Less than 20 years,4342
"Black or African American, non-Hispanic",60
"Asian or Pacific Islander, non-Hispanic",138
Hispanic or Latino,594
Other Race,1173
Unknown,1177
"White, non-Hispanic",3690
"American Indian or Alaska Native, non-Hispanic",23577
