Category,Maricopa
Total_doses_administered,5801493
Total_people_one_dose,2704037
Total_people_complete,2328851
total_pouluation,2704037
Male-65 years and older,290184
Male-55-64 years,191642
Male-45-54 years,186070
Male-20-44 years,447278
Male-Less than 20 years,156837
Female-65 years and older,362595
Female-55-64 years,215366
Female-45-54 years,201456
Female-20-44 years,478595
Female-Less than 20 years,159619
"American Indian or Alaska Native, non-Hispanic",53100
"Black or African American, non-Hispanic",105607
"Asian or Pacific Islander, non-Hispanic",137529
Unknown,182270
Other Race,433571
Hispanic or Latino,460370
"White, non-Hispanic",1331590
