Category,Pinal
Total_doses_administered,537013
Total_people_one_dose,258285
Total_people_complete,222789
total_pouluation,258285
Male-65 years and older,37763
Male-55-64 years,18723
Male-45-54 years,17147
Male-20-44 years,39192
Male-Less than 20 years,13457
Female-65 years and older,43352
Female-55-64 years,21129
Female-45-54 years,17437
Female-20-44 years,36062
Female-Less than 20 years,13282
"Asian or Pacific Islander, non-Hispanic",5288
"Black or African American, non-Hispanic",9512
"American Indian or Alaska Native, non-Hispanic",10201
Unknown,30265
Other Race,31671
Hispanic or Latino,42058
"White, non-Hispanic",129290
