Category,Graham
Total_doses_administered,46089
Total_people_one_dose,21660
Total_people_complete,18860
total_pouluation,21660
Male-65 years and older,2433
Male-55-64 years,1603
Male-45-54 years,1460
Male-20-44 years,3645
Male-Less than 20 years,1291
Female-65 years and older,2942
Female-55-64 years,1743
Female-45-54 years,1432
Female-20-44 years,3692
Female-Less than 20 years,1407
"Asian or Pacific Islander, non-Hispanic",88
"Black or African American, non-Hispanic",97
Other Race,1311
Hispanic or Latino,3912
Unknown,4153
"American Indian or Alaska Native, non-Hispanic",5494
"White, non-Hispanic",6605
