Category,Coconino
Total_doses_administered,212916
Total_people_one_dose,96743
Total_people_complete,82606
total_pouluation,96743
Male-65 years and older,9552
Male-55-64 years,6440
Male-45-54 years,5906
Male-20-44 years,17539
Male-Less than 20 years,6483
Female-65 years and older,10741
Female-55-64 years,7233
Female-45-54 years,5951
Female-20-44 years,19924
Female-Less than 20 years,6703
"Black or African American, non-Hispanic",803
"Asian or Pacific Islander, non-Hispanic",1725
Hispanic or Latino,7503
Other Race,8835
Unknown,12457
"American Indian or Alaska Native, non-Hispanic",23158
"White, non-Hispanic",42262
