Category,Arizona
Total_doses_administered,10048218
Total_people_complete,3984498
total_pouluation,7189020
Total_people_one_dose,4764469
Male-65 years and older,578668
Male-55-64 years,336217
Male-45-54 years,303513
Male-20-44 years,756803
Male-Less than 20 years,279836
Female-65 years and older,703270
Female-55-64 years,382136
Female-45-54 years,326595
Female-20-44 years,791196
Female-Less than 20 years,286343
"Black or African American, non-Hispanic",144974
"Asian or Pacific Islander, non-Hispanic",182504
"American Indian or Alaska Native, non-Hispanic",206348
Unknown,432075
Other Race,677941
Hispanic or Latino,896992
"White, non-Hispanic",2223635
