Category,Navajo
Total_doses_administered,103805
Total_people_one_dose,50430
Total_people_complete,41143
total_pouluation,50430
Male-65 years and older,7468
Male-55-64 years,3638
Male-45-54 years,2777
Male-20-44 years,5995
Male-Less than 20 years,4577
Female-65 years and older,8402
Female-55-64 years,4166
Female-45-54 years,2777
Female-20-44 years,5896
Female-Less than 20 years,4696
"Black or African American, non-Hispanic",208
"Asian or Pacific Islander, non-Hispanic",373
Unknown,2427
Hispanic or Latino,2597
Other Race,6397
"White, non-Hispanic",16313
"American Indian or Alaska Native, non-Hispanic",22115
