Category,Mohave
Total_doses_administered,191889
Total_people_one_dose,92278
Total_people_complete,77428
total_pouluation,92278
Male-65 years and older,21398
Male-55-64 years,8431
Male-45-54 years,4378
Male-20-44 years,7754
Male-Less than 20 years,1927
Female-65 years and older,23479
Female-55-64 years,9744
Female-45-54 years,4934
Female-20-44 years,7927
Female-Less than 20 years,2126
"Black or African American, non-Hispanic",639
"American Indian or Alaska Native, non-Hispanic",768
"Asian or Pacific Islander, non-Hispanic",1416
Hispanic or Latino,7496
Unknown,11663
Other Race,14613
"White, non-Hispanic",55683
