Category,Yavapai
Total_doses_administered,255514
Total_people_one_dose,119785
Total_people_complete,100378
total_pouluation,119785
Male-65 years and older,26428
Male-55-64 years,9352
Male-45-54 years,5162
Male-20-44 years,10505
Male-Less than 20 years,3059
Female-65 years and older,32134
Female-55-64 years,11771
Female-45-54 years,6129
Female-20-44 years,10758
Female-Less than 20 years,3341
"Black or African American, non-Hispanic",592
"American Indian or Alaska Native, non-Hispanic",1462
"Asian or Pacific Islander, non-Hispanic",1488
Hispanic or Latino,8417
Other Race,17588
Unknown,18596
"White, non-Hispanic",71642
