Category,Cochise
Total_doses_administered,171522
Total_people_one_dose,83582
Total_people_complete,68083
total_pouluation,83582
Male-65 years and older,11482
Male-55-64 years,5680
Male-45-54 years,4458
Male-20-44 years,11932
Male-Less than 20 years,5845
Female-65 years and older,13458
Female-55-64 years,6716
Female-45-54 years,5014
Female-20-44 years,12666
Female-Less than 20 years,6231
"American Indian or Alaska Native, non-Hispanic",372
"Asian or Pacific Islander, non-Hispanic",1518
"Black or African American, non-Hispanic",1628
Unknown,9940
Other Race,12141
Hispanic or Latino,24225
"White, non-Hispanic",33758
