Category,Coconino
Total_doses_administered,214917
Total_people_one_dose,94299
Total_people_complete,83576
total_pouluation,94299
Male-65 years and older,8477
Male-55-64 years,6063
Male-45-54 years,5803
Male-20-44 years,17636
Male-Less than 20 years,6920
Female-65 years and older,9484
Female-55-64 years,6747
Female-45-54 years,5776
Female-20-44 years,20107
Female-Less than 20 years,7107
"Black or African American, non-Hispanic",831
"Asian or Pacific Islander, non-Hispanic",1736
Hispanic or Latino,7694
Other Race,8083
Unknown,11308
"American Indian or Alaska Native, non-Hispanic",24191
"White, non-Hispanic",40456
