Category,Cochise
Total_doses_administered,192549
Total_people_one_dose,91548
Total_people_complete,75856
total_pouluation,91548
Male-65 years and older,12065
Male-55-64 years,6029
Male-45-54 years,4838
Male-20-44 years,13065
Male-Less than 20 years,7314
Female-65 years and older,14093
Female-55-64 years,7119
Female-45-54 years,5435
Female-20-44 years,13864
Female-Less than 20 years,7620
"American Indian or Alaska Native, non-Hispanic",393
"Asian or Pacific Islander, non-Hispanic",1599
"Black or African American, non-Hispanic",1721
Unknown,11112
Other Race,12735
Hispanic or Latino,28680
"White, non-Hispanic",35308
