Category,Gila
Total_doses_administered,61282
Total_people_one_dose,27367
Total_people_complete,24031
total_pouluation,27367
Male-65 years and older,5997
Male-55-64 years,2266
Male-45-54 years,1298
Male-20-44 years,2600
Male-Less than 20 years,938
Female-65 years and older,6367
Female-55-64 years,2668
Female-45-54 years,1446
Female-20-44 years,2758
Female-Less than 20 years,974
"Black or African American, non-Hispanic",97
"Asian or Pacific Islander, non-Hispanic",226
Hispanic or Latino,1599
"American Indian or Alaska Native, non-Hispanic",2987
Other Race,4411
Unknown,4527
"White, non-Hispanic",13520
