Category,Graham
Total_doses_administered,42656
Total_people_one_dose,19258
Total_people_complete,17159
total_pouluation,19258
Male-65 years and older,1998
Male-55-64 years,1366
Male-45-54 years,1316
Male-20-44 years,3271
Male-Less than 20 years,1312
Female-65 years and older,2478
Female-55-64 years,1513
Female-45-54 years,1247
Female-20-44 years,3315
Female-Less than 20 years,1431
"Asian or Pacific Islander, non-Hispanic",66
"Black or African American, non-Hispanic",83
Other Race,868
Hispanic or Latino,2871
Unknown,3821
"White, non-Hispanic",5687
"American Indian or Alaska Native, non-Hispanic",5862
