Category,Yavapai
Total_doses_administered,186298
Total_people_one_dose,106800
Total_people_complete,89556
Total_doses_ordered,166680
total_pouluation,232386
Male-65 years and older,23734
Male-55-64 years,8371
Male-45-54 years,4793
Male-20-44 years,9271
Male-Less than 20 years,1860
Female-65 years and older,29622
Female-55-64 years,10739
Female-45-54 years,5573
Female-20-44 years,9431
Female-Less than 20 years,2096
"Black or African American, non-Hispanic",529
"American Indian or Alaska Native, non-Hispanic",1057
"Asian or Pacific Islander, non-Hispanic",1390
Hispanic or Latino,6509
Other Race,16386
Unknown,27007
"White, non-Hispanic",53922
