Category,Graham
Total_doses_administered,20762
Total_people_one_dose,11544
Total_people_complete,10278
Total_doses_ordered,19250
total_pouluation,38476
Male-65 years and older,1634
Male-55-64 years,973
Male-45-54 years,847
Male-20-44 years,1967
Male-Less than 20 years,299
Female-65 years and older,2050
Female-55-64 years,1112
Female-45-54 years,764
Female-20-44 years,1524
Female-Less than 20 years,363
"Asian or Pacific Islander, non-Hispanic",61
"Black or African American, non-Hispanic",68
Other Race,898
"American Indian or Alaska Native, non-Hispanic",969
Hispanic or Latino,1899
Unknown,3708
"White, non-Hispanic",3941
