Category,Maricopa
Total_doses_administered,2930517
Total_people_one_dose,1676863
Total_people_complete,1442763
Total_doses_ordered,1587440
total_pouluation,4367835
Male-65 years and older,178010
Male-55-64 years,124156
Male-45-54 years,121779
Male-20-44 years,278288
Male-Less than 20 years,73265
Female-65 years and older,231131
Female-55-64 years,143561
Female-45-54 years,135778
Female-20-44 years,303038
Female-Less than 20 years,76098
"American Indian or Alaska Native, non-Hispanic",35685
"Black or African American, non-Hispanic",64152
"Asian or Pacific Islander, non-Hispanic",79566
Unknown,164836
Other Race,257634
Hispanic or Latino,298580
"White, non-Hispanic",776410
