Category,Gila
Total_doses_administered,51135
Total_people_one_dose,28548
Total_people_complete,25208
Total_doses_ordered,36710
total_pouluation,55159
Male-65 years and older,5830
Male-55-64 years,2601
Male-45-54 years,1589
Male-20-44 years,3054
Male-Less than 20 years,679
Female-65 years and older,6188
Female-55-64 years,2887
Female-45-54 years,1690
Female-20-44 years,3172
Female-Less than 20 years,798
"Black or African American, non-Hispanic",94
"Asian or Pacific Islander, non-Hispanic",256
Hispanic or Latino,1259
Other Race,4752
Unknown,5336
"American Indian or Alaska Native, non-Hispanic",5652
"White, non-Hispanic",11199
