Category,Pinal
Total_doses_administered,304867
Total_people_one_dose,174397
Total_people_complete,153701
Total_doses_ordered,196918
total_pouluation,455210
Male-65 years and older,29651
Male-55-64 years,13535
Male-45-54 years,12383
Male-20-44 years,27709
Male-Less than 20 years,5117
Female-65 years and older,34015
Female-55-64 years,14482
Female-45-54 years,11134
Female-20-44 years,20564
Female-Less than 20 years,5215
"Asian or Pacific Islander, non-Hispanic",3172
"Black or African American, non-Hispanic",4900
"American Indian or Alaska Native, non-Hispanic",8412
Other Race,18609
Hispanic or Latino,27192
Unknown,35168
"White, non-Hispanic",76944
