Category,Cochise
Total_doses_administered,117952
Total_people_one_dose,66487
Total_people_complete,58295
Total_doses_ordered,89070
total_pouluation,130808
Male-65 years and older,10626
Male-55-64 years,5135
Male-45-54 years,3704
Male-20-44 years,9469
Male-Less than 20 years,2464
Female-65 years and older,12570
Female-55-64 years,6158
Female-45-54 years,4267
Female-20-44 years,9459
Female-Less than 20 years,2544
"American Indian or Alaska Native, non-Hispanic",314
"Black or African American, non-Hispanic",1237
"Asian or Pacific Islander, non-Hispanic",1284
Unknown,8842
Other Race,10140
Hispanic or Latino,15992
"White, non-Hispanic",28678
