Category,Coconino
Total_doses_administered,148144
Total_people_one_dose,81405
Total_people_complete,73061
Total_doses_ordered,97568
total_pouluation,147275
Male-65 years and older,7635
Male-55-64 years,5952
Male-45-54 years,5350
Male-20-44 years,16087
Male-Less than 20 years,2999
Female-65 years and older,8738
Female-55-64 years,6681
Female-45-54 years,5521
Female-20-44 years,18604
Female-Less than 20 years,3761
"Black or African American, non-Hispanic",582
"Asian or Pacific Islander, non-Hispanic",1208
Hispanic or Latino,5601
Other Race,9444
Unknown,16813
"American Indian or Alaska Native, non-Hispanic",16953
"White, non-Hispanic",30804
