Category,Arizona
Total_doses_administered,6993668
Total_people_complete,3389146
Total_doses_ordered,5255270
total_pouluation,7189020
Total_people_one_dose,3852342
Male-65 years and older,512514
Male-55-64 years,293371
Male-45-54 years,252847
Male-20-44 years,591106
Male-Less than 20 years,149385
Female-65 years and older,632341
Female-55-64 years,338693
Female-45-54 years,278251
Female-20-44 years,626134
Female-Less than 20 years,158331
"Black or African American, non-Hispanic",104047
"American Indian or Alaska Native, non-Hispanic",108629
"Asian or Pacific Islander, non-Hispanic",146719
Unknown,416578
Hispanic or Latino,634464
Other Race,652899
"White, non-Hispanic",1789006
