Category,La Paz
Total_doses_administered,17431
Total_people_one_dose,9583
Total_people_complete,8567
Total_doses_ordered,18600
total_pouluation,22085
Male-65 years and older,3117
Male-55-64 years,684
Male-45-54 years,314
Male-20-44 years,511
Male-Less than 20 years,131
Female-65 years and older,3021
Female-55-64 years,844
Female-45-54 years,348
Female-20-44 years,456
Female-Less than 20 years,137
"Black or African American, non-Hispanic",27
"Asian or Pacific Islander, non-Hispanic",70
"American Indian or Alaska Native, non-Hispanic",183
Hispanic or Latino,984
Other Race,1091
Unknown,2623
"White, non-Hispanic",4605
