Category,Apache
Total_doses_administered,61099
Total_people_one_dose,29406
Total_people_complete,22690
total_pouluation,29406
Male-65 years and older,2797
Male-55-64 years,2039
Male-45-54 years,1630
Male-20-44 years,3883
Male-Less than 20 years,4026
Female-65 years and older,3356
Female-55-64 years,2192
Female-45-54 years,1602
Female-20-44 years,3771
Female-Less than 20 years,4102
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",135
Hispanic or Latino,570
Unknown,1119
Other Race,1145
"White, non-Hispanic",3657
"American Indian or Alaska Native, non-Hispanic",22721
