Category,Mohave
Total_doses_administered,185537
Total_people_one_dose,90405
Total_people_complete,76514
total_pouluation,90405
Male-65 years and older,21017
Male-55-64 years,8261
Male-45-54 years,4297
Male-20-44 years,7532
Male-Less than 20 years,1815
Female-65 years and older,23147
Female-55-64 years,9604
Female-45-54 years,4845
Female-20-44 years,7704
Female-Less than 20 years,2005
"Black or African American, non-Hispanic",615
"American Indian or Alaska Native, non-Hispanic",740
"Asian or Pacific Islander, non-Hispanic",1377
Hispanic or Latino,7204
Unknown,11598
Other Race,14424
"White, non-Hispanic",54447
