Category,Graham
Total_doses_administered,43735
Total_people_one_dose,21106
Total_people_complete,18542
total_pouluation,21106
Male-65 years and older,2407
Male-55-64 years,1586
Male-45-54 years,1447
Male-20-44 years,3582
Male-Less than 20 years,1146
Female-65 years and older,2914
Female-55-64 years,1724
Female-45-54 years,1421
Female-20-44 years,3621
Female-Less than 20 years,1246
"Asian or Pacific Islander, non-Hispanic",85
"Black or African American, non-Hispanic",93
Other Race,1301
Hispanic or Latino,3821
Unknown,4119
"American Indian or Alaska Native, non-Hispanic",5203
"White, non-Hispanic",6484
