Category,Coconino
Total_doses_administered,205092
Total_people_one_dose,94911
Total_people_complete,81823
total_pouluation,94911
Male-65 years and older,9437
Male-55-64 years,6377
Male-45-54 years,5825
Male-20-44 years,17204
Male-Less than 20 years,6170
Female-65 years and older,10616
Female-55-64 years,7138
Female-45-54 years,5890
Female-20-44 years,19586
Female-Less than 20 years,6395
"Black or African American, non-Hispanic",786
"Asian or Pacific Islander, non-Hispanic",1640
Hispanic or Latino,7190
Other Race,8681
Unknown,12638
"American Indian or Alaska Native, non-Hispanic",22649
"White, non-Hispanic",41327
