Category,La Paz
Total_doses_administered,18069
Total_people_one_dose,8969
Total_people_complete,7538
total_pouluation,8969
Male-65 years and older,2423
Male-55-64 years,616
Male-45-54 years,327
Male-20-44 years,680
Male-Less than 20 years,369
Female-65 years and older,2448
Female-55-64 years,740
Female-45-54 years,374
Female-20-44 years,600
Female-Less than 20 years,373
"Black or African American, non-Hispanic",39
"Asian or Pacific Islander, non-Hispanic",89
"American Indian or Alaska Native, non-Hispanic",534
Other Race,1184
Hispanic or Latino,1343
Unknown,1847
"White, non-Hispanic",3933
