Category,Navajo
Total_doses_administered,99953
Total_people_one_dose,49161
Total_people_complete,40523
total_pouluation,49161
Male-65 years and older,7341
Male-55-64 years,3580
Male-45-54 years,2714
Male-20-44 years,5817
Male-Less than 20 years,4382
Female-65 years and older,8268
Female-55-64 years,4116
Female-45-54 years,2717
Female-20-44 years,5697
Female-Less than 20 years,4493
"Black or African American, non-Hispanic",205
"Asian or Pacific Islander, non-Hispanic",360
Unknown,2321
Hispanic or Latino,2502
Other Race,6324
"White, non-Hispanic",16029
"American Indian or Alaska Native, non-Hispanic",21420
