Category,Yavapai
Total_doses_administered,246832
Total_people_one_dose,117583
Total_people_complete,99018
total_pouluation,117583
Male-65 years and older,25944
Male-55-64 years,9208
Male-45-54 years,5080
Male-20-44 years,10253
Male-Less than 20 years,2945
Female-65 years and older,31599
Female-55-64 years,11652
Female-45-54 years,6026
Female-20-44 years,10518
Female-Less than 20 years,3207
"Black or African American, non-Hispanic",562
"American Indian or Alaska Native, non-Hispanic",1432
"Asian or Pacific Islander, non-Hispanic",1442
Hispanic or Latino,8136
Other Race,17279
Unknown,18916
"White, non-Hispanic",69816
