Category,value
Hospitalizations,90195
Day,
Day_pct,
Apache,1214
Cochise,1120
Coconino,1865
Gila,989
Graham,478
Greenlee,80
La Paz,351
Maricopa,56223
Mohave,3111
Navajo,2341
Pima,10016
Pinal,5987
Santa Cruz,667
Yavapai,3084
Yuma,2669
0_5,
Less than 20 years,3357
20-44 years,19146
45-54 years,12772
55-64 years,16663
65 years and older,38206
Male,47367
Female,42777
Missing,
"White, non-Hispanic",44472
Hispanic or Latino,27557
"American Indian or Alaska Native, non-Hispanic",6209
"Black or African American, non-Hispanic",4449
"Asian or Pacific Islander, non-Hispanic",1464
Other Race,3874
