Category,Apache
Total_doses_administered,67113
Total_people_one_dose,31421
Total_people_complete,23454
total_pouluation,31421
Male-65 years and older,2915
Male-55-64 years,2112
Male-45-54 years,1711
Male-20-44 years,4148
Male-Less than 20 years,4450
Female-65 years and older,3499
Female-55-64 years,2283
Female-45-54 years,1703
Female-20-44 years,4037
Female-Less than 20 years,4553
"Black or African American, non-Hispanic",62
"Asian or Pacific Islander, non-Hispanic",142
Hispanic or Latino,617
Other Race,1189
Unknown,1193
"White, non-Hispanic",3751
"American Indian or Alaska Native, non-Hispanic",24467
