Category,Navajo
Total_doses_administered,108373
Total_people_one_dose,51897
Total_people_complete,41880
total_pouluation,51897
Male-65 years and older,7613
Male-55-64 years,3709
Male-45-54 years,2841
Male-20-44 years,6177
Male-Less than 20 years,4841
Female-65 years and older,8576
Female-55-64 years,4227
Female-45-54 years,2853
Female-20-44 years,6072
Female-Less than 20 years,4948
"Black or African American, non-Hispanic",215
"Asian or Pacific Islander, non-Hispanic",385
Unknown,2519
Hispanic or Latino,2726
Other Race,6477
"White, non-Hispanic",16578
"American Indian or Alaska Native, non-Hispanic",22997
