Category,Cochise
Total_doses_administered,179731
Total_people_one_dose,86382
Total_people_complete,69406
total_pouluation,86382
Male-65 years and older,11676
Male-55-64 years,5765
Male-45-54 years,4599
Male-20-44 years,12314
Male-Less than 20 years,6440
Female-65 years and older,13654
Female-55-64 years,6856
Female-45-54 years,5154
Female-20-44 years,13061
Female-Less than 20 years,6761
"American Indian or Alaska Native, non-Hispanic",380
"Asian or Pacific Islander, non-Hispanic",1548
"Black or African American, non-Hispanic",1673
Unknown,10451
Other Race,12322
Hispanic or Latino,25759
"White, non-Hispanic",34249
