,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1227271,260195,6080,20026,35071,11150,4627,3042,3608,492382,20384,16484,195899,52926,10378,44813,31148
Total_people_one_dose,933421,209207,4822,16134,26996,8867,3482,2708,3243,360500,15810,12062,153630,41829,8638,40487,25006
Total_people_complete,286738,57022,,,,,,,,,,,,,,,
Total_doses_ordered,1395300,333697,,,,,,,,,,,,,,,
65 years and older,265391,73623,,,,,,,,,,,,,,,
55-64 years,70576,11625,,,,,,,,,,,,,,,
45-54 years,66757,10182,,,,,,,,,,,,,,,
20-44 years,139782,20192,,,,,,,,,,,,,,,
Less than 20 years,4022,654,,,,,,,,,,,,,,,
65 years and older,215373,64017,,,,,,,,,,,,,,,
55-64 years,43118,7493,,,,,,,,,,,,,,,
45-54 years,41838,7141,,,,,,,,,,,,,,,
20-44 years,81435,12839,,,,,,,,,,,,,,,
Less than 20 years,2458,443,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2126,380,,,,,,,,,,,,,,,
Black or African American,13564,1030,,,,,,,,,,,,,,,
Asian,21172,2882,,,,,,,,,,,,,,,
American Indian or Alaska Native,28853,5239,,,,,,,,,,,,,,,
Hispanic or Latino,76510,7757,,,,,,,,,,,,,,,
Other Race/Unknown,342683,61472,,,,,,,,,,,,,,,
White,448664,130489,,,,,,,,,,,,,,,
