Category,Cochise
Total_doses_administered,191565
Total_people_one_dose,91297
Total_people_complete,75515
total_pouluation,91297
Male-65 years and older,12049
Male-55-64 years,6030
Male-45-54 years,4827
Male-20-44 years,13029
Male-Less than 20 years,7270
Female-65 years and older,14074
Female-55-64 years,7116
Female-45-54 years,5427
Female-20-44 years,13813
Female-Less than 20 years,7558
"American Indian or Alaska Native, non-Hispanic",393
"Asian or Pacific Islander, non-Hispanic",1598
"Black or African American, non-Hispanic",1711
Unknown,11079
Other Race,12734
Hispanic or Latino,28512
"White, non-Hispanic",35270
