Category,Maricopa
Total_doses_administered,6291427
Total_people_one_dose,2832969
Total_people_complete,2489617
total_pouluation,2832969
Male-65 years and older,299199
Male-55-64 years,197670
Male-45-54 years,193381
Male-20-44 years,467787
Male-Less than 20 years,178017
Female-65 years and older,373307
Female-55-64 years,221449
Female-45-54 years,208952
Female-20-44 years,499626
Female-Less than 20 years,179283
"American Indian or Alaska Native, non-Hispanic",55716
"Black or African American, non-Hispanic",112234
"Asian or Pacific Islander, non-Hispanic",144549
Unknown,191781
Other Race,445231
Hispanic or Latino,498000
"White, non-Hispanic",1385458
