Category,Arizona
Total_doses_administered,10801075
Total_people_complete,4227530
total_pouluation,7189020
Total_people_one_dose,4964392
Male-65 years and older,592932
Male-55-64 years,344144
Male-45-54 years,312348
Male-20-44 years,788292
Male-Less than 20 years,316342
Female-65 years and older,719239
Female-55-64 years,390765
Female-45-54 years,336155
Female-20-44 years,823488
Female-Less than 20 years,320796
"Black or African American, non-Hispanic",152941
"Asian or Pacific Islander, non-Hispanic",190791
"American Indian or Alaska Native, non-Hispanic",223678
Unknown,446358
Other Race,693098
Hispanic or Latino,970297
"White, non-Hispanic",2287229
