Category,Santa Cruz
Total_doses_administered,130496
Total_people_one_dose,66219
Total_people_complete,50276
total_pouluation,66219
Male-65 years and older,4822
Male-55-64 years,3549
Male-45-54 years,3813
Male-20-44 years,10067
Male-Less than 20 years,9516
Female-65 years and older,5881
Female-55-64 years,3997
Female-45-54 years,4224
Female-20-44 years,10803
Female-Less than 20 years,9430
"American Indian or Alaska Native, non-Hispanic",56
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",189
Other Race,3681
Unknown,6608
"White, non-Hispanic",7669
Hispanic or Latino,47955
