Category,Graham
Total_doses_administered,42473
Total_people_one_dose,19228
Total_people_complete,17086
total_pouluation,19228
Male-65 years and older,1995
Male-55-64 years,1367
Male-45-54 years,1315
Male-20-44 years,3266
Male-Less than 20 years,1310
Female-65 years and older,2476
Female-55-64 years,1511
Female-45-54 years,1245
Female-20-44 years,3306
Female-Less than 20 years,1426
"Asian or Pacific Islander, non-Hispanic",66
"Black or African American, non-Hispanic",83
Other Race,868
Hispanic or Latino,2860
Unknown,3828
"White, non-Hispanic",5670
"American Indian or Alaska Native, non-Hispanic",5853
