Category,Apache
Total_doses_administered,78068
Total_people_one_dose,34839
Total_people_complete,29877
total_pouluation,34839
Male-65 years and older,3127
Male-55-64 years,2334
Male-45-54 years,1905
Male-20-44 years,4812
Male-Less than 20 years,4765
Female-65 years and older,3794
Female-55-64 years,2544
Female-45-54 years,1954
Female-20-44 years,4718
Female-Less than 20 years,4875
"Black or African American, non-Hispanic",69
"Asian or Pacific Islander, non-Hispanic",162
Hispanic or Latino,657
Unknown,1226
Other Race,1245
"White, non-Hispanic",3918
"American Indian or Alaska Native, non-Hispanic",27562
