Category,Yavapai
Total_doses_administered,283243
Total_people_one_dose,128949
Total_people_complete,109524
total_pouluation,128949
Male-65 years and older,28540
Male-55-64 years,10078
Male-45-54 years,5519
Male-20-44 years,11339
Male-Less than 20 years,3338
Female-65 years and older,34446
Female-55-64 years,12685
Female-45-54 years,6570
Female-20-44 years,11510
Female-Less than 20 years,3695
"Black or African American, non-Hispanic",650
"American Indian or Alaska Native, non-Hispanic",1554
"Asian or Pacific Islander, non-Hispanic",1665
Hispanic or Latino,9288
Unknown,19028
Other Race,19049
"White, non-Hispanic",77715
