Category,Navajo
Total_doses_administered,120028
Total_people_one_dose,55379
Total_people_complete,46958
total_pouluation,55379
Male-65 years and older,7761
Male-55-64 years,3924
Male-45-54 years,3007
Male-20-44 years,6821
Male-Less than 20 years,5412
Female-65 years and older,8798
Female-55-64 years,4440
Female-45-54 years,3038
Female-20-44 years,6684
Female-Less than 20 years,5456
"Black or African American, non-Hispanic",227
"Asian or Pacific Islander, non-Hispanic",416
Unknown,2593
Hispanic or Latino,2811
Other Race,6525
"White, non-Hispanic",16637
"American Indian or Alaska Native, non-Hispanic",26170
