Category,Mohave
Total_doses_administered,202792
Total_people_one_dose,94960
Total_people_complete,80200
total_pouluation,94960
Male-65 years and older,21933
Male-55-64 years,8579
Male-45-54 years,4510
Male-20-44 years,8081
Male-Less than 20 years,2090
Female-65 years and older,23945
Female-55-64 years,9940
Female-45-54 years,5055
Female-20-44 years,8335
Female-Less than 20 years,2311
"Black or African American, non-Hispanic",674
"American Indian or Alaska Native, non-Hispanic",795
"Asian or Pacific Islander, non-Hispanic",1474
Hispanic or Latino,7916
Unknown,11729
Other Race,14868
"White, non-Hispanic",57504
