Category,Maricopa
Total_doses_administered,5431752
Total_people_one_dose,2614301
Total_people_complete,2290170
total_pouluation,2614301
Male-65 years and older,283398
Male-55-64 years,187146
Male-45-54 years,181482
Male-20-44 years,433389
Male-Less than 20 years,142297
Female-65 years and older,354384
Female-55-64 years,210713
Female-45-54 years,196954
Female-20-44 years,464579
Female-Less than 20 years,145513
"American Indian or Alaska Native, non-Hispanic",50991
"Black or African American, non-Hispanic",100780
"Asian or Pacific Islander, non-Hispanic",131932
Unknown,173943
Other Race,424564
Hispanic or Latino,436065
"White, non-Hispanic",1296026
