Category,Cochise
Total_doses_administered,158160
Total_people_one_dose,79530
Total_people_complete,66303
total_pouluation,79530
Male-65 years and older,11122
Male-55-64 years,5435
Male-45-54 years,4259
Male-20-44 years,11425
Male-Less than 20 years,5202
Female-65 years and older,13048
Female-55-64 years,6466
Female-45-54 years,4791
Female-20-44 years,12121
Female-Less than 20 years,5560
"American Indian or Alaska Native, non-Hispanic",352
"Asian or Pacific Islander, non-Hispanic",1455
"Black or African American, non-Hispanic",1545
Unknown,9322
Other Race,11779
Hispanic or Latino,22305
"White, non-Hispanic",32772
