Category,Arizona
Total_doses_administered,9364360
Total_people_complete,451909
total_pouluation,7189020
Total_people_one_dose,4574403
Male-65 years and older,560281
Male-55-64 years,325933
Male-45-54 years,294138
Male-20-44 years,728886
Male-Less than 20 years,252209
Female-65 years and older,682577
Female-55-64 years,371217
Female-45-54 years,317377
Female-20-44 years,762498
Female-Less than 20 years,259448
"Black or African American, non-Hispanic",137722
"Asian or Pacific Islander, non-Hispanic",174039
"American Indian or Alaska Native, non-Hispanic",194805
Unknown,415946
Other Race,659584
Hispanic or Latino,843606
"White, non-Hispanic",2148701
