Category,Graham
Total_doses_administered,42632
Total_people_one_dose,20851
Total_people_complete,18399
total_pouluation,20851
Male-65 years and older,2381
Male-55-64 years,1576
Male-45-54 years,1434
Male-20-44 years,3544
Male-Less than 20 years,1103
Female-65 years and older,2892
Female-55-64 years,1714
Female-45-54 years,1415
Female-20-44 years,3576
Female-Less than 20 years,1204
"Asian or Pacific Islander, non-Hispanic",84
"Black or African American, non-Hispanic",92
Other Race,1297
Hispanic or Latino,3733
Unknown,4055
"American Indian or Alaska Native, non-Hispanic",5183
"White, non-Hispanic",6407
