Category,La Paz
Total_doses_administered,17442
Total_people_one_dose,8786
Total_people_complete,7460
total_pouluation,8786
Male-65 years and older,2373
Male-55-64 years,603
Male-45-54 years,320
Male-20-44 years,661
Male-Less than 20 years,358
Female-65 years and older,2410
Female-55-64 years,725
Female-45-54 years,368
Female-20-44 years,591
Female-Less than 20 years,359
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",89
"American Indian or Alaska Native, non-Hispanic",514
Other Race,1156
Hispanic or Latino,1308
Unknown,1808
"White, non-Hispanic",3873
