Category,Pinal
Total_doses_administered,502742
Total_people_one_dose,248614
Total_people_complete,218412
total_pouluation,248614
Male-65 years and older,36475
Male-55-64 years,18208
Male-45-54 years,16678
Male-20-44 years,38009
Male-Less than 20 years,12064
Female-65 years and older,42048
Female-55-64 years,20529
Female-45-54 years,16962
Female-20-44 years,34947
Female-Less than 20 years,11945
"Asian or Pacific Islander, non-Hispanic",5069
"Black or African American, non-Hispanic",9052
"American Indian or Alaska Native, non-Hispanic",9593
Unknown,29304
Other Race,30838
Hispanic or Latino,40048
"White, non-Hispanic",124710
