Category,Coconino
Total_doses_administered,197743
Total_people_one_dose,93488
Total_people_complete,81312
total_pouluation,93488
Male-65 years and older,9340
Male-55-64 years,6300
Male-45-54 years,5741
Male-20-44 years,16975
Male-Less than 20 years,5894
Female-65 years and older,10530
Female-55-64 years,7090
Female-45-54 years,5834
Female-20-44 years,19373
Female-Less than 20 years,6148
"Black or African American, non-Hispanic",774
"Asian or Pacific Islander, non-Hispanic",1599
Hispanic or Latino,7005
Other Race,8586
Unknown,12676
"American Indian or Alaska Native, non-Hispanic",22245
"White, non-Hispanic",40603
