Category,Mohave
Total_doses_administered,179311
Total_people_one_dose,88996
Total_people_complete,75699
total_pouluation,88996
Male-65 years and older,20616
Male-55-64 years,8166
Male-45-54 years,4228
Male-20-44 years,7399
Male-Less than 20 years,1723
Female-65 years and older,22855
Female-55-64 years,9494
Female-45-54 years,4802
Female-20-44 years,7594
Female-Less than 20 years,1942
"Black or African American, non-Hispanic",600
"American Indian or Alaska Native, non-Hispanic",725
"Asian or Pacific Islander, non-Hispanic",1337
Hispanic or Latino,7049
Unknown,11425
Other Race,14281
"White, non-Hispanic",53579
