Category,Yavapai
Total_doses_administered,239292
Total_people_one_dose,116121
Total_people_complete,98141
total_pouluation,116121
Male-65 years and older,25660
Male-55-64 years,9111
Male-45-54 years,4999
Male-20-44 years,10089
Male-Less than 20 years,2828
Female-65 years and older,31350
Female-55-64 years,11551
Female-45-54 years,5973
Female-20-44 years,10326
Female-Less than 20 years,3086
"Black or African American, non-Hispanic",548
"Asian or Pacific Islander, non-Hispanic",1409
"American Indian or Alaska Native, non-Hispanic",1414
Hispanic or Latino,7942
Other Race,17099
Unknown,19154
"White, non-Hispanic",68555
