Category,Pinal
Total_doses_administered,223021
Total_people_one_dose,131282
Total_people_complete,103641
Total_doses_ordered,188650
total_pouluation,455210
Male-65 years and older,26919
Male-55-64 years,11011
Male-45-54 years,8868
Male-20-44 years,17150
Male-Less than 20 years,1001
Female-65 years and older,30893
Female-55-64 years,12065
Female-45-54 years,8183
Female-20-44 years,13482
Female-Less than 20 years,1158
"Asian or Pacific Islander, non-Hispanic",0.0134595755701467
"Black or African American, non-Hispanic",0.0193552809981566
"American Indian or Alaska Native, non-Hispanic",0.0449490409957191
Other Race,0.0861047211346567
Hispanic or Latino,0.1351137246537987
Unknown,0.2964839048765253
"White, non-Hispanic",0.4045337517709968
