Category,Apache
Total_doses_administered,16234
Total_people_one_dose,9258
Total_people_complete,7744
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1601
Male-55-64 years,814
Male-45-54 years,467
Male-20-44 years,827
Male-Less than 20 years,789
Female-65 years and older,1650
Female-55-64 years,927
Female-45-54 years,536
Female-20-44 years,816
Female-Less than 20 years,826
"Asian or Pacific Islander, non-Hispanic",0.0117736012097645
"Black or African American, non-Hispanic",0.0156621300496868
Other Race,0.0476344782890473
Hispanic or Latino,0.1018578526679628
Unknown,0.189349751566213
"White, non-Hispanic",0.2472456254050551
"American Indian or Alaska Native, non-Hispanic",0.3864765608122705
