,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,5309249,1510934,16234,91094,124531,45127,17011,7969,15493,1973648,116101,44670,716779,223021,48219,160489,148611
Total_people_one_dose,3035312,831591,9258,52488,68329,25100,9545,4542,8672,1181598,68968,26280,411527,131282,27725,92893,85514
Total_people_complete,2467482,,,,,,,,,,,,,,,,
Total_doses_ordered,4896780,,,,,,,,,,,,,,,,
65 years and older,584209,,,,,,,,,,,,,,,,
55-64 years,297768,,,,,,,,,,,,,,,,
45-54 years,223898,,,,,,,,,,,,,,,,
20-44 years,473481,,,,,,,,,,,,,,,,
Less than 20 years,54892,,,,,,,,,,,,,,,,
65 years and older,92893,,,,,,,,,,,,,,,,
55-64 years,249774,,,,,,,,,,,,,,,,
45-54 years,196200,,,,,,,,,,,,,,,,
20-44 years,427806,,,,,,,,,,,,,,,,
Less than 20 years,47501,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",69305,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",72685,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",112431,,,,,,,,,,,,,,,,
Hispanic or Latino,398513,,,,,,,,,,,,,,,,
Unknown,415494,,,,,,,,,,,,,,,,
Other Race,514770,,,,,,,,,,,,,,,,
"White, non-Hispanic",1452114,,,,,,,,,,,,,,,,
